FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-ZF29-0004-SM-4YUX5	GTEX-ZF29-0004-SM-4YUX5	-0.0209	0.0066	0.0303	-0.0194	0.0123	0.0021	0.0017	-0.0323	-0.0230	0.0193	-0.0334	-0.0119	0.0404	-0.0043	-0.0258	-0.0157	0.0388	-0.0123	-0.0224	0.0001
GTEX-ZG7Y-0001-SM-4YUVR	GTEX-ZG7Y-0001-SM-4YUVR	-0.0208	0.0141	0.0204	-0.0392	-0.0276	-0.0173	-0.0038	0.0362	0.0011	0.0345	0.0360	-0.0122	-0.0072	0.0150	0.0104	0.0235	0.0306	-0.0096	0.0011	-0.0810
GTEX-ZGAY-0002-SM-4YUV3	GTEX-ZGAY-0002-SM-4YUV3	-0.0238	0.0060	0.0316	-0.0396	-0.0264	0.0074	0.0022	-0.0160	0.0092	0.0149	-0.0151	-0.0123	-0.0111	0.0164	0.0072	0.0145	0.0137	0.0080	0.0209	-0.0312
GTEX-ZLFU-0004-SM-4YUV4	GTEX-ZLFU-0004-SM-4YUV4	0.1234	-0.0039	-0.0212	0.0100	0.0725	-0.0055	-0.0277	0.0956	0.0035	-0.0013	-0.1065	-0.0690	0.0630	0.0636	0.1371	0.0491	-0.0271	0.1557	-0.0488	-0.0780
GTEX-ZLV1-0003-SM-4YUVF	GTEX-ZLV1-0003-SM-4YUVF	-0.0209	0.0072	0.0201	-0.0264	0.0099	-0.0175	-0.0053	0.0241	0.0216	0.0088	-0.0188	0.0426	0.0178	0.0104	-0.0161	0.0420	-0.0188	-0.0083	0.0312	0.0099
GTEX-ZLWG-0001-SM-4YUVG	GTEX-ZLWG-0001-SM-4YUVG	0.0682	-0.0062	0.0212	0.0101	-0.1210	0.2472	0.1331	0.0189	-0.0902	0.1417	0.1581	-0.1043	-0.1822	0.0812	0.0395	-0.0587	0.0329	0.0303	-0.0693	-0.1257
GTEX-ZP4G-0002-SM-4YUW4	GTEX-ZP4G-0002-SM-4YUW4	-0.0203	0.0004	0.0087	0.0241	0.0117	0.0070	-0.0032	0.0072	-0.0152	0.0247	0.0130	-0.0167	-0.0412	0.0151	-0.0181	-0.0304	-0.0472	0.0079	-0.0549	-0.0343
GTEX-ZPCL-0001-SM-4YUWG	GTEX-ZPCL-0001-SM-4YUWG	-0.0224	0.0072	-0.0148	-0.0350	-0.0608	-0.0326	0.0197	-0.0201	-0.0204	-0.0536	0.0041	0.0099	0.0440	-0.0311	-0.0098	0.0082	-0.0281	0.0012	-0.0192	0.0531
GTEX-ZPIC-0004-SM-4YUVS	GTEX-ZPIC-0004-SM-4YUVS	-0.0214	0.0117	0.0442	0.0063	0.0090	0.0012	-0.0014	-0.0039	-0.0216	-0.0516	0.0093	-0.0027	-0.0128	-0.0249	0.0272	0.0151	0.0378	0.0651	0.0529	-0.0165
GTEX-ZPU1-0002-SM-4YUW5	GTEX-ZPU1-0002-SM-4YUW5	0.1027	-0.0095	-0.0127	0.0098	0.0549	-0.0721	-0.0418	0.1952	0.0158	0.1819	-0.1372	0.0418	-0.1041	-0.1108	0.0803	-0.1155	-0.1726	-0.1308	-0.1755	0.0676
GTEX-ZQG8-0003-SM-4YUWH	GTEX-ZQG8-0003-SM-4YUWH	-0.0213	0.0060	0.0186	-0.0160	-0.0178	-0.0255	0.0348	0.0235	-0.0168	0.0020	-0.0135	0.0148	0.0093	-0.0417	0.0020	-0.0121	0.0113	-0.0139	0.0099	-0.0243
GTEX-ZQUD-0002-SM-4YUWT	GTEX-ZQUD-0002-SM-4YUWT	0.1109	0.0135	0.0217	0.0072	0.0237	-0.0959	-0.1528	0.1011	0.0126	-0.0302	-0.0975	0.0621	0.0111	-0.0530	-0.0768	-0.1436	-0.0832	-0.1014	-0.0862	-0.1492
GTEX-ZT9W-0002-SM-4YUVT	GTEX-ZT9W-0002-SM-4YUVT	-0.0215	0.0024	-0.0066	0.0679	0.0710	0.0065	0.0128	0.0121	0.0318	0.0196	0.0047	-0.0011	-0.0444	0.0264	-0.0154	-0.0092	0.0021	0.0144	-0.0148	-0.0454
GTEX-ZT9X-0002-SM-4YUX6	GTEX-ZT9X-0002-SM-4YUX6	-0.0215	-0.0059	0.0487	0.0960	0.0360	-0.0128	0.0180	-0.0151	0.0193	0.0045	-0.0312	-0.0191	0.0101	0.0050	-0.0156	0.0328	0.0041	-0.0063	0.0239	0.0402
GTEX-ZTPG-0003-SM-4YUXJ	GTEX-ZTPG-0003-SM-4YUXJ	-0.0182	0.0058	-0.0359	0.0119	-0.0100	0.0461	0.0060	0.0130	-0.0179	0.0131	-0.0300	-0.0260	0.0047	-0.0437	0.0246	0.0251	0.0109	0.0269	0.0301	0.0197
GTEX-ZTSS-0003-SM-4YUW6	GTEX-ZTSS-0003-SM-4YUW6	-0.0213	0.0173	-0.0055	0.0116	-0.0221	-0.0009	-0.0014	0.0217	0.0423	-0.0035	0.0679	-0.0005	0.0152	0.0485	0.0135	0.0162	-0.0108	-0.0032	-0.0228	-0.0075
GTEX-ZTTD-0002-SM-4YUV5	GTEX-ZTTD-0002-SM-4YUV5	-0.0213	0.0060	0.0217	0.0532	0.0100	-0.0277	-0.0055	-0.0144	-0.0007	-0.0085	0.0160	0.0321	0.0183	0.0064	-0.0394	0.0191	-0.0314	-0.0109	-0.0372	0.0757
GTEX-ZTX8-0004-SM-4YUXI	GTEX-ZTX8-0004-SM-4YUXI	0.0890	0.0018	0.0140	-0.0778	0.0775	-0.1524	0.1104	-0.1716	0.0877	0.0241	-0.1491	0.1998	-0.0613	-0.0592	-0.0751	-0.0687	0.2125	0.0035	0.0241	0.1468
GTEX-ZUA1-0001-SM-4YUVH	GTEX-ZUA1-0001-SM-4YUVH	-0.0221	0.0124	0.0239	0.0065	-0.0166	-0.0147	-0.0418	-0.0024	0.0040	-0.0143	0.0088	0.0044	0.0034	0.0587	-0.0307	0.0519	0.0174	-0.0367	-0.0068	0.0186
GTEX-ZV6S-0002-SM-4YUWI	GTEX-ZV6S-0002-SM-4YUWI	-0.0196	0.0014	-0.0301	0.0240	-0.0276	-0.0099	-0.0125	0.0009	0.0121	-0.0779	-0.0043	-0.0071	-0.0122	0.0270	-0.0326	0.0129	0.0167	-0.0155	-0.0140	0.0186
GTEX-ZV7C-0002-SM-4YUX7	GTEX-ZV7C-0002-SM-4YUX7	0.1011	0.0066	-0.0011	-0.0123	0.0079	-0.0678	-0.0949	-0.1990	-0.0097	0.0074	-0.0760	0.0693	-0.0385	-0.0687	-0.0571	0.1580	-0.0638	-0.1434	-0.0810	-0.1641
GTEX-ZV68-0001-SM-4YUWU	GTEX-ZV68-0001-SM-4YUWU	-0.0206	-0.0013	0.0194	-0.0247	0.0023	-0.0040	0.0070	-0.0406	0.0188	0.0378	-0.0466	0.0068	0.0107	-0.0723	-0.0158	0.0089	-0.0822	0.0121	0.0225	0.1441
GTEX-ZVE1-0001-SM-4YUX8	GTEX-ZVE1-0001-SM-4YUX8	-0.0220	0.0107	0.0122	-0.0366	-0.0142	0.0319	0.0064	0.0303	-0.0013	0.0015	-0.0007	0.0212	-0.0338	-0.0138	0.0396	-0.0298	-0.0292	-0.0067	-0.0085	0.0142
GTEX-ZVE2-0002-SM-4YUV6	GTEX-ZVE2-0002-SM-4YUV6	-0.0209	0.0139	0.0115	0.0563	0.0289	-0.0025	0.0217	0.0087	-0.0062	-0.0045	0.0048	-0.0422	-0.0216	-0.0012	-0.0157	0.0295	-0.0002	0.0746	0.0336	0.0309
GTEX-ZVP2-0002-SM-4YUXK	GTEX-ZVP2-0002-SM-4YUXK	0.1268	0.0115	0.0125	-0.0379	0.0135	-0.0644	-0.0495	-0.0620	0.0714	-0.0009	0.0212	0.0177	-0.0660	0.0987	-0.0346	0.0435	-0.0071	-0.0186	0.0494	0.0220
GTEX-ZVT2-0003-SM-4YUVI	GTEX-ZVT2-0003-SM-4YUVI	-0.0225	0.0175	-0.0045	0.0012	0.0188	0.0143	-0.0031	-0.0115	-0.0019	-0.0037	0.0105	0.0242	-0.0008	0.0096	0.0335	-0.0320	0.0194	0.0045	-0.0214	-0.0579
GTEX-ZVT3-0001-SM-4YUV7	GTEX-ZVT3-0001-SM-4YUV7	-0.0196	0.0030	-0.0262	-0.0081	-0.0126	-0.0280	0.0047	-0.0251	0.0134	0.0260	-0.0147	0.0028	0.0302	-0.0345	0.0346	0.0073	-0.0034	-0.0345	-0.0524	0.0208
GTEX-ZVT4-0004-SM-4YUVU	GTEX-ZVT4-0004-SM-4YUVU	-0.0209	0.0035	0.0227	-0.0380	-0.0338	-0.0038	0.0298	0.0007	-0.0089	0.0392	-0.0382	0.0315	-0.0137	-0.0039	-0.0466	0.0398	0.0075	0.0074	-0.0281	-0.0234
GTEX-ZVTK-0002-SM-4YUW7	GTEX-ZVTK-0002-SM-4YUW7	0.0534	0.0046	-0.0542	-0.0514	0.0449	0.0062	-0.0086	0.0043	0.0057	-0.0043	0.1401	0.0189	-0.0294	-0.0295	0.0386	0.0054	-0.0260	0.0404	0.0706	0.0872
GTEX-ZVZO-0001-SM-5DWS4	GTEX-ZVZO-0001-SM-5DWS4	0.1197	0.0199	0.0041	-0.0104	0.0433	-0.0415	-0.1054	-0.1178	0.0844	-0.1037	-0.0425	-0.0981	-0.0924	-0.0594	-0.0426	0.0533	-0.0903	-0.0823	0.2132	-0.0436
GTEX-ZVZP-0003-SM-4YUWJ	GTEX-ZVZP-0003-SM-4YUWJ	-0.0202	0.0010	-0.0156	0.0092	0.0563	0.0043	-0.0153	0.0253	-0.0065	0.0611	-0.0349	-0.0146	-0.0157	-0.0155	0.0168	-0.0432	-0.0010	0.0163	0.0443	0.0283
GTEX-ZVZQ-0002-SM-4YUWV	GTEX-ZVZQ-0002-SM-4YUWV	-0.0224	0.0141	0.0219	0.0047	-0.0307	0.0034	0.0123	-0.0258	-0.0306	0.0307	0.0176	-0.0333	-0.0446	-0.0420	-0.0115	-0.0073	-0.0316	0.0268	0.0131	0.0369
GTEX-ZXES-0001-SM-5DWS2	GTEX-ZXES-0001-SM-5DWS2	-0.0181	0.0126	0.0268	-0.0047	-0.0434	-0.0090	-0.0542	-0.0016	0.0266	0.0046	-0.0193	-0.0072	-0.0048	-0.0072	0.0313	0.0138	-0.0081	0.0129	-0.0119	-0.0038
GTEX-ZXG5-0002-SM-5DWS3	GTEX-ZXG5-0002-SM-5DWS3	-0.0130	-0.0284	-0.1911	0.0409	0.0528	0.0215	-0.0002	-0.0318	-0.0045	0.0045	0.0526	-0.0524	0.0098	0.0013	0.0202	-0.0244	0.0042	0.0123	0.0045	-0.0301
GTEX-ZY6K-0002-SM-5DWS5	GTEX-ZY6K-0002-SM-5DWS5	0.1206	0.0040	-0.0026	-0.0414	0.0397	-0.0493	-0.0806	-0.0587	-0.0481	-0.0717	0.0753	-0.0633	-0.0280	0.1401	0.0059	-0.0270	0.1313	0.0262	0.0873	0.1297
GTEX-ZYFC-0001-SM-5DWS7	GTEX-ZYFC-0001-SM-5DWS7	0.1142	0.0148	0.0232	0.0610	-0.0183	0.0995	-0.0311	0.0977	-0.0846	-0.0448	0.0116	-0.0370	-0.0404	-0.0187	0.0321	0.1637	0.0289	-0.0602	-0.1236	0.0584
GTEX-ZYFD-0001-SM-5DWS6	GTEX-ZYFD-0001-SM-5DWS6	-0.0212	0.0152	-0.0050	-0.0064	0.0422	-0.0215	0.0047	0.0156	-0.0554	0.0385	-0.0153	-0.0257	-0.0051	-0.0051	0.0243	0.0027	0.0058	0.0267	0.0364	-0.0300
GTEX-ZYFG-0004-SM-5DWS8	GTEX-ZYFG-0004-SM-5DWS8	-0.0202	0.0011	0.0074	-0.0048	-0.0231	-0.0229	-0.0053	0.0210	-0.0392	0.0321	0.0243	0.0236	0.0880	-0.0777	-0.0236	0.0097	0.0407	0.0237	0.0454	0.0257
GTEX-ZYT6-0002-SM-5DWS9	GTEX-ZYT6-0002-SM-5DWS9	-0.0203	0.0130	0.0116	-0.0164	-0.0361	-0.0361	0.0281	-0.0150	0.0162	0.0209	0.0115	-0.0066	0.0468	0.0338	-0.0041	0.0390	0.0002	-0.0486	-0.0330	0.0365
GTEX-ZYWO-0004-SM-5DWTS	GTEX-ZYWO-0004-SM-5DWTS	-0.0209	-0.0021	-0.0231	0.0223	0.0119	0.0728	0.0479	0.0474	0.0239	0.0461	-0.0046	-0.0340	0.0089	0.0228	-0.0189	0.0163	-0.0377	-0.0143	-0.0748	0.0276
GTEX-ZYY3-0002-SM-5DWTT	GTEX-ZYY3-0002-SM-5DWTT	-0.0167	0.0049	-0.1054	-0.0060	0.0088	0.0187	-0.0056	-0.0171	-0.0014	-0.0284	0.0143	-0.0179	0.0149	0.0057	-0.0318	-0.0091	0.0053	-0.0006	0.0484	-0.0305
GTEX-ZZ64-0004-SM-5DWSA	GTEX-ZZ64-0004-SM-5DWSA	-0.0219	-0.0019	0.0189	0.0303	0.0043	-0.0406	0.0127	0.0104	0.0253	-0.0009	0.0322	-0.0244	-0.0246	0.0065	-0.0315	0.0284	-0.0229	0.0624	0.0213	-0.0310
GTEX-ZZPT-0002-SM-5DWTU	GTEX-ZZPT-0002-SM-5DWTU	-0.0228	0.0008	0.0406	0.1290	0.0901	0.0192	-0.0131	-0.0132	0.0185	-0.0115	-0.0048	0.0043	0.0140	-0.0307	0.0035	-0.0022	0.0610	-0.0169	-0.0107	-0.0038
GTEX-ZZPU-0003-SM-5DWTO	GTEX-ZZPU-0003-SM-5DWTO	-0.0210	0.0051	-0.0099	-0.0515	-0.0071	0.0101	0.0226	-0.0055	-0.0092	0.0146	0.0263	0.0283	0.0258	-0.0230	-0.0391	0.0302	-0.0363	0.0495	-0.0084	0.0573
