"C1"	"C2"	"C3"
"GTEX.ZAJG"	0.1102	0.0108	-0.0032
"GTEX.ZC5H"	-0.0213	-0.0018	0.0578
"GTEX.ZDTS"	-0.0199	0.0077	-0.0038
"GTEX.ZDTT"	-0.0223	0.0118	0.0045
"GTEX.ZDXO"	-0.0221	0.0069	0.0148
"GTEX.ZDYS"	-0.0212	0.0061	0.0141
"GTEX.ZE7O"	-0.0197	0.0067	0.0076
"GTEX.ZEX8"	-0.0146	-0.0097	-0.1664
"GTEX.ZF2S"	-0.0205	0.008	-0.0034
"GTEX.ZF3C"	-0.022	0.0049	0.0069
"GTEX.ZF28"	-0.021	0.0155	0.0198
"GTEX.ZF29"	-0.0209	0.0066	0.0303
"GTEX.ZG7Y"	-0.0208	0.0141	0.0204
"GTEX.ZGAY"	-0.0238	0.006	0.0316
"GTEX.ZLFU"	0.1234	-0.0039	-0.0212
"GTEX.ZLV1"	-0.0209	0.0072	0.0201
"GTEX.ZLWG"	0.0682	-0.0062	0.0212
"GTEX.ZP4G"	-0.0203	4e-04	0.0087
"GTEX.ZPCL"	-0.0224	0.0072	-0.0148
"GTEX.ZPIC"	-0.0214	0.0117	0.0442
"GTEX.ZPU1"	0.1027	-0.0095	-0.0127
"GTEX.ZQG8"	-0.0213	0.006	0.0186
"GTEX.ZQUD"	0.1109	0.0135	0.0217
"GTEX.ZT9W"	-0.0215	0.0024	-0.0066
"GTEX.ZT9X"	-0.0215	-0.0059	0.0487
"GTEX.ZTPG"	-0.0182	0.0058	-0.0359
"GTEX.ZTSS"	-0.0213	0.0173	-0.0055
"GTEX.ZTTD"	-0.0213	0.006	0.0217
"GTEX.ZTX8"	0.089	0.0018	0.014
"GTEX.ZUA1"	-0.0221	0.0124	0.0239
"GTEX.ZV6S"	-0.0196	0.0014	-0.0301
"GTEX.ZV7C"	0.1011	0.0066	-0.0011
"GTEX.ZV68"	-0.0206	-0.0013	0.0194
"GTEX.ZVE1"	-0.022	0.0107	0.0122
"GTEX.ZVE2"	-0.0209	0.0139	0.0115
"GTEX.ZVP2"	0.1268	0.0115	0.0125
"GTEX.ZVT2"	-0.0225	0.0175	-0.0045
"GTEX.ZVT3"	-0.0196	0.003	-0.0262
"GTEX.ZVT4"	-0.0209	0.0035	0.0227
"GTEX.ZVTK"	0.0534	0.0046	-0.0542
"GTEX.ZVZO"	0.1197	0.0199	0.0041
"GTEX.ZVZP"	-0.0202	0.001	-0.0156
"GTEX.ZVZQ"	-0.0224	0.0141	0.0219
"GTEX.ZXES"	-0.0181	0.0126	0.0268
"GTEX.ZXG5"	-0.013	-0.0284	-0.1911
"GTEX.ZY6K"	0.1206	0.004	-0.0026
"GTEX.ZYFC"	0.1142	0.0148	0.0232
"GTEX.ZYFD"	-0.0212	0.0152	-0.005
"GTEX.ZYFG"	-0.0202	0.0011	0.0074
"GTEX.ZYT6"	-0.0203	0.013	0.0116
"GTEX.ZYWO"	-0.0209	-0.0021	-0.0231
"GTEX.ZYY3"	-0.0167	0.0049	-0.1054
"GTEX.ZZ64"	-0.0219	-0.0019	0.0189
"GTEX.ZZPT"	-0.0228	8e-04	0.0406
"GTEX.ZZPU"	-0.021	0.0051	-0.0099
